b_id,gr_title,nyt_title,b_count,pub_yr,b_avg_rating,b_ratings_count,b_txt_rev_count,publisher,b_rating_5_count,b_rating_4_count,b_rating_3_count,b_rating_2_count,b_rating_1_count,b_wks_on_list,decade,a_id
17562900,"Night Broken (Mercy Thompson, #8)",Night Broken,23,2014,4.42,35300,2997,Ace,18731,13073,3107,304,85,1,2010s,40563
6587387,"Silver Borne (Mercy Thompson, #5)",Silver Borne,18,2010,4.38,74258,2451,Ace,38456,26809,8017,805,173,1,2010s,40563
25776210,"Fire Touched (Mercy Thompson, #9)",Fire Touched,24,2016,4.35,19008,2058,Ace,9449,7158,2120,224,58,1,2010s,40563
27209407,"Bay of Sighs (The Guardians Trilogy, #2)",Bay of Sighs,27,2016,4.16,8415,724,Berkley,3552,3038,1492,256,79,1,2010s,625
26236956,The Obsession,The Obsession,33,2016,4.16,28724,2529,Berkley,13214,9557,4085,1062,807,1,2010s,625
85459,Northern Lights,Northern Lights,75,2004,3.98,33306,924,Jove,11308,12160,8009,1523,306,2,2000s,625
26050,Angels Fall,Angels Fall,71,2006,3.97,35625,1088,G.P. Putnam's,11741,13256,8831,1523,274,2,2000s,625
12951824,"The Perfect Hope (Inn Boonsboro, #3)",The Perfect Hope,62,2012,4.13,29050,1958,Brilliance Audio,11662,10866,5454,887,182,1,2010s,625
114187,"Chesapeake Blue (Chesapeake Bay Saga, #4)",Chesapeake Blue,65,2002,4.17,24899,617,Unknown,10550,8845,4711,685,108,2,2000s,625
18668066,The Collector,The Collector,49,2014,3.91,21046,1811,Berkley,6700,7749,4983,1247,367,1,2010s,625
6013511,Black Hills,Black Hills,61,2009,4.08,27856,1272,G.P. Putnam's,10710,10112,5758,1044,232,1,2000s,625
16158519,Whiskey Beach,Whiskey Beach,67,2013,3.95,25166,2139,G.P. Putnam's,8163,9553,5790,1259,401,1,2010s,625
18527947,"Shadow Spell (The Cousins O'Dwyer Trilogy, #2)",Shadow Spell,49,2014,3.99,23445,1713,Unknown,8413,8133,5378,1242,279,1,2010s,625
114203,Birthright,Birthright,67,2003,3.98,19805,586,Jove,6661,7331,4802,849,162,1,2000s,625
28432251,"Island of Glass (The Guardians Trilogy, #3)",Island of Glass,17,2016,4.28,5327,479,Berkley,2628,1774,770,119,37,1,2010s,625
114132,Midnight Bayou,Midnight Bayou,75,2001,3.95,26112,732,Penguin,8857,9062,6576,1329,288,1,2000s,625
2003767,Tribute,Tribute,65,2008,3.91,19714,977,G.P. Putnam's,5899,7395,5297,954,169,2,2000s,625
23281906,The Liar,The Liar,50,2014,3.95,22206,2078,Berkley,7537,8200,4687,1309,473,1,2010s,625
682153,Three Fates,Three Fates,70,2002,4.03,17519,487,Jove,6533,6021,4072,727,166,1,2000s,625
16158558,"Dark Witch (The Cousins O'Dwyer Trilogy, #1)",Dark Witch,50,2013,3.9,40830,3469,Berkley,14295,13150,9431,2775,1179,1,2010s,625
18754961,"Blood Magick (The Cousins O'Dwyer Trilogy, #3)",Blood Magick,51,2014,4.04,20243,1553,Berkley,8026,6672,4219,1081,245,1,2010s,625
7076706,The Search,Search,60,2010,4.11,36873,2122,Unknown,14512,13812,6966,1246,338,1,2010s,625
78987,"The Prodigal Daughter (Kane & Abel, #2)",The Prodigal Daughter,62,1982,3.92,26029,563,St. Martin's Press,7332,10701,6653,1148,195,5,1980s,4820
25671861,"Cometh the Hour (The Clifton Chronicles, #6)",Cometh the hour,22,2016,4.11,12660,940,St. Martin's Press,4900,5030,2081,467,184,1,2010s,4820
79016,First Among Equals,First Among Equals,58,1983,3.86,11283,243,St. Martin's Press,2881,4648,3111,532,111,3,1980s,4820
338687,Something Of Value,Something of Value,12,1955,4.34,432,49,Doubleday,226,139,58,7,2,2,1950s,42572
17724749,"Private L.A. (Private, #6)",Private L.A.,37,2014,3.85,9751,695,Little Brown & Co,2543,3939,2637,491,141,1,2010s,3780
552887,"Double Cross (Alex Cross, #13)",Double Cross,68,2007,3.99,35490,1337,Unknown,11309,14371,8176,1377,257,4,2000s,3780
13132,"3rd Degree (Women's Murder Club, #3)",3rd Degree,73,2004,3.99,58027,1636,Grand Central Publishing,18188,23467,14299,1812,261,1,2000s,3780
8437913,"Tick Tock (Michael Bennett, #4)",Tick Tock,42,2010,4.02,19414,1153,Little Brown & Co,6429,7952,4207,683,143,3,2010s,3780
13131,"The 6th Target (Women's Murder Club, #6)",The 6th Target,70,2007,4.01,43666,1428,Unknown,14303,17601,9960,1552,250,2,2000s,3780
13147,"Honeymoon (Honeymoon, #1)",Honeymoon,72,2005,3.8,32629,1784,Grand Central Publishing,8757,11898,9283,2196,496,4,2000s,3780
11343348,Private Games (Private #3),Private Games,46,2012,3.82,16740,1175,Century,4665,6194,4442,1066,373,1,2010s,3780
11343348,Private Games (Private #3),The Games,46,2012,3.82,16740,1175,Century,4665,6194,4442,1066,373,1,2010s,3780
13145,"Along Came a Spider (Alex Cross, #1)",Cross,117,1993,4.07,301238,3354,Grand Central Publishing,114931,112507,59235,10497,4076,3,2000s,3780
13145,"Along Came a Spider (Alex Cross, #1)","I, Alex Cross",117,1993,4.07,301238,3354,Grand Central Publishing,114931,112507,59235,10497,4076,2,2000s,3780
16131072,"Second Honeymoon (Honeymoon, #2)",Second Honeymoon,33,2013,3.89,14010,1166,Little Brown & Co,3697,5921,3603,671,118,1,2010s,3780
13137,"1st to Die (Women's Murder Club, #1)",1st to Die,104,2001,4.05,228803,4809,Unknown,89173,79347,46544,9585,4155,2,2000s,3780
86424,Lifeguard,Lifeguard,60,2005,3.76,21057,765,Grand Central Publishing,5105,7680,6631,1358,283,4,2000s,3780
13157,The Jester,The Jester,52,2003,3.78,16287,883,Headline,5086,5237,4018,1255,691,1,2000s,3780
25787901,"NYPD Red 4 (NYPD Red, #4)",NYPD Red 4,25,2016,3.96,8850,606,Little Brown & Co,2689,3655,2064,339,103,1,2010s,3780
10343389,Kill Alex Cross,Kill Alex Cross,50,2011,4.0,23584,1455,Century,7934,9030,5456,957,207,1,2010s,3780
23346918,"14th Deadly Sin (Women’s Murder Club, #14)",14th Deadly Sin,39,2015,3.97,19364,1605,Century,6238,7641,4443,793,250,1,2010s,3780
80568,Sam's Letters to Jennifer,Sam's Letters to Jennifer,59,2001,4.15,76725,2181,Grand Central Publishing,34146,24648,13917,3050,966,1,2000s,3780
10808006,"Private #1 Suspect (Private, #2)",Private: #1 Suspect,42,2011,3.94,15470,925,Little Brown & Co,4632,6250,3788,642,158,1,2010s,3780
13151,"London Bridges (Alex Cross, #10)",London Bridges,74,2004,3.92,33497,807,Unknown,10084,12896,8538,1622,358,1,2000s,3780
13136,"2nd Chance (Women's Murder Club, #2)",2nd Chance,95,2002,4.01,72168,2014,Grand Central Publishing,23658,28535,17111,2497,368,2,2000s,3780
4110198,"The 8th Confession (Women's Murder Club, #8)",8th Confession,61,2009,4.02,33658,1372,Unknown,11098,13474,7803,1102,181,1,2000s,3780
25066591,"Cross Justice (Alex Cross, #23)",Cross Justice,32,2015,4.22,14448,1360,Little Brown & Co,6564,5309,1946,432,199,1,2010s,3780
25613617,15th Affair (Women's Murder Club #15),15th Affair,30,2016,4.03,13513,1223,Arrow,4655,5432,2735,555,137,1,2010s,3780
7134202,"Private (Private, #1)",Private,50,201,3.88,33681,1967,Little Brown & Co,10116,12491,8531,1892,651,1,2010s,3780
20800147,"Hope to Die (Alex Cross, #22)",Hope to Die,32,2014,4.14,16012,1434,Century,6501,6085,2722,513,191,1,2010s,3780
1713912,"Cross Country (Alex Cross, #14)",Cross Country,53,2008,3.83,28175,1657,Little Brown & Co,8455,9955,6995,2051,720,2,2000s,3780
13521299,"Alex Cross, Run (Alex Cross, #20)","Alex Cross, Run",43,2013,4.02,18122,1380,Little Brown & Co,5924,7482,4031,562,123,2,2010s,3780
6455256,"Worst Case (Michael Bennett, #3)",Worst Case,48,2010,3.99,18248,1150,Little Brown & Co,5649,7662,4189,614,134,2,2010s,3780
33668,"4th of July (Women's Murder Club, #4)",4th of July,79,2005,4.04,58375,1603,Vision,19485,23738,13210,1672,270,4,2000s,3780
24396884,"Alert (Michael Bennett, #8)",Alert,23,2015,3.93,10217,811,Little Brown & Co,3259,3914,2308,556,180,1,2010s,3780
28352410,"Bullseye (Michael Bennett, #9)",Bullseye,22,2016,3.84,5189,426,Audiobooks,1423,1981,1400,299,87,1,2010s,3780
84736,"Mary, Mary (Alex Cross, #11)","Mary, Mary",81,2005,3.92,38046,1091,Warner,11260,14888,9972,1629,297,5,2000s,3780
13133,The Quickie,The Quickie,57,2007,3.81,32119,2134,Unknown,9634,10955,8317,2379,834,2,2000s,3780
21445,"The 5th Horseman (Women's Murder Club, #5)",The 5th Horseman,68,2006,4.03,48419,1456,Unknown,16008,19784,10899,1474,254,3,2000s,3780
13130,Judge & Jury,Judge and Jury,53,2006,3.98,39449,842,Unknown,13223,14589,9608,1625,405,4,2000s,3780
2029176,Sail,Sail,48,2008,3.8,21701,1757,Little Brown & Co,5858,7971,5978,1427,467,1,2000s,3780
5551522,Swimsuit,Swimsuit,56,2009,3.63,19775,1643,Little Brown & Co,4567,6520,6147,1853,688,1,2000s,3780
28936152,"Cross the Line (Alex Cross, #24)",Cross the Line,24,2016,4.03,4137,385,Arrow,1316,1806,854,137,25,1,2010s,3780
7134201,The Postcard Killers,The Postcard Killers,63,2010,3.78,20374,1731,Little Brown & Co,5220,7637,5662,1512,343,1,2010s,3780
2029177,Sundays at Tiffany's,Sundays at Tiffany's,60,2008,3.74,56919,5658,Little Brown & Co,16943,17537,15091,5382,1966,1,2000s,3780
7856305,"Cross Fire (Alex Cross, #17)",Cross Fire,51,2010,4.04,22727,1144,Little Brown & Co,7621,9282,4982,694,148,2,2010s,3780
17333277,"Cross My Heart (Alex Cross, #21)",Cross My Heart,32,2013,4.02,14694,1614,Little Brown & Co,5320,5494,2945,690,245,1,2010s,3780
7510,The Beach House,The Beach House,59,2002,3.81,68699,1583,Grand Central Publishing,18867,24682,19755,4281,1114,2,2000s,3780
7926569,Now You See Her,Now You See Her,45,2011,3.97,25985,2141,Little Brown & Co,8319,10326,5930,1103,307,1,2010s,3780
45169,"Step on a Crack (Michael Bennett, #1)",Step on a Crack,71,2007,3.99,33014,1479,Unknown,10746,13089,7681,1152,346,2,2000s,3780
6266907,"Alex Cross's Trial (Alex Cross, #15)",Alex Cross's Trial,29,2009,3.91,18854,1383,Little Brown & Co,6149,6763,4405,1099,438,1,2000s,3780
25324116,"Private Paris (Private, #10)",Private Paris,24,2016,3.82,6685,473,Arrow,1825,2528,1799,377,156,1,2010s,3780
53625,"Four Blind Mice (Alex Cross, #8)",Four Blind Mice,68,2002,3.97,35723,699,Headline,10853,14622,8844,1186,218,1,2000s,3780
110444,"The Lake House (When the Wind Blows, #2)",The Lake House,51,2003,3.79,30937,1061,Grand Central Publishing,8865,10675,8246,2331,820,1,2000s,3780
7494,Suzanne's Diary for Nicholas,Suzanne's Diary for Nicholas,76,2001,4.15,121571,4159,Vision,56106,37473,20663,5271,2059,4,2000s,3780
13134,You've Been Warned,You've Been Warned,55,2007,3.52,17217,1540,Unknown,3997,5152,4973,2080,1015,2,2000s,3780
